Continent;Isocode alpha-3;Pays;France ou autres pays
Asie;CYP;Chypre;Autres pays
Amérique;COL;Colombie;Autres pays
Afrique;COM;Comores;Autres pays
Asie;PRK;Corée du Nord;Autres pays
Asie;KOR;Corée du Sud;Autres pays
Amérique;CRI;Costa Rica;Autres pays
Afrique;CIV;Côte d’Ivoire;Autres pays
Europe;HRV;Croatie;Autres pays
Amérique;CUB;Cuba;Autres pays
Europe;DNK;Danemark;Autres pays
Amérique;DMA;Dominique;Autres pays
Afrique;EGY;Égypte;Autres pays
Asie;ARE;Émirats Arabes Unis;Autres pays
Amérique;ECU;Équateur;Autres pays
Afrique;ERI;Érythrée;Autres pays
Europe;ESP;Espagne;Autres pays
Europe;EST;Estonie;Autres pays
Afrique;SWZ;Eswatini;Autres pays
Amérique;USA;États-Unis;Autres pays
Afrique;ETH;Éthiopie;Autres pays
Océanie;FJI;Fidji;Autres pays
Europe;FIN;Finlande;Autres pays
Afrique;GAB;Gabon;Autres pays
Afrique;GMB;Gambie;Autres pays
Asie;GEO;Géorgie;Autres pays
Amérique;SGS;Géorgie du Sud et les Iles Sandwich du Sud;Autres pays
Afrique;GHA;Ghana;Autres pays
Europe;GIB;Gibraltar;Autres pays
Europe;GRC;Grèce;Autres pays
Amérique;GRD;Grenade;Autres pays
Amérique;GRL;Groenland;Autres pays
Océanie;GUM;Guam;Autres pays
Amérique;GTM;Guatemala;Autres pays
Europe;GGY;Guernesey;Autres pays
Afrique;GIN;Guinée;Autres pays
Afrique;GNQ;Guinée équatoriale;Autres pays
Afrique;GNB;Guinée-Bissau;Autres pays
Amérique;HTI;Haïti;Autres pays
Amérique;HND;Honduras;Autres pays
Asie;HKG;Hong Kong;Autres pays
Europe;HUN;Hongrie;Autres pays
Antarctique;BVT;Ile Bouvet;Autres pays
Asie;CXR;Ile Christmas;Autres pays
Europe;IMN;Ile de Man;Autres pays
Océanie;NFK;Ile Norfolk;Autres pays
Europe;ALA;Iles Åland;Autres pays
Amérique;CYM;Iles Cayman;Autres pays
Asie;CCK;Iles Cocos;Autres pays
Océanie;COK;Iles Cook;Autres pays
Amérique;FLK;Iles Falkland;Autres pays
Europe;FRO;Iles Féroé;Autres pays
Antarctique;HMD;Iles Heard-et-MacDonald;Autres pays
Océanie;MNP;Iles Mariannes du Nord;Autres pays
Océanie;MHL;Iles Marshall;Autres pays
Amérique;UMI;Iles mineures éloignées des États-Unis;Autres pays
Océanie;SLB;Iles Salomon;Autres pays
Amérique;TCA;Iles Turques-et-Caïques;Autres pays
Amérique;VIR;Iles Vierges américaines;Autres pays
Asie;IND;Inde;Autres pays
Asie;IDN;Indonésie;Autres pays
Asie;IRQ;Irak;Autres pays
Asie;IRN;Iran;Autres pays
Europe;IRL;Irlande;Autres pays
Europe;ISL;Islande;Autres pays
Asie;ISR;Israël;Autres pays
Europe;ITA;Italie;Autres pays
Amérique;JAM;Jamaïque;Autres pays
Asie;JPN;Japon;Autres pays
Europe;JEY;Jersey;Autres pays
Asie;JOR;Jordanie;Autres pays
Asie;KAZ;Kazakhstan;Autres pays
Afrique;KEN;Kenya;Autres pays
Asie;KGZ;Kirghizistan;Autres pays
Océanie;KIR;Kiribati;Autres pays
Europe;XKX;Kosovo;Autres pays
Asie;KWT;Koweït;Autres pays
Asie;LAO;Laos;Autres pays
Afrique;LSO;Lesotho;Autres pays
Europe;LVA;Lettonie;Autres pays
Asie;LBN;Liban;Autres pays
Afrique;LBR;Libéria;Autres pays
Afrique;LBY;Libye;Autres pays
Europe;LIE;Liechtenstein;Autres pays
Europe;LTU;Lituanie;Autres pays
Europe;LUX;Luxembourg;Autres pays
Asie;MAC;Macao;Autres pays
Europe;MKD;Macédoine;Autres pays
Afrique;MDG;Madagascar;Autres pays
Asie;MYS;Malaisie;Autres pays
Afrique;MWI;Malawi;Autres pays
Asie;MDV;Maldives;Autres pays
Afrique;MLI;Mali;Autres pays
Europe;MLT;Malte;Autres pays
Afrique;MAR;Maroc;Autres pays
Afrique;MUS;Ile Maurice;Autres pays
Afrique;MRT;Mauritanie;Autres pays
Amérique;MEX;Mexique;Autres pays
Océanie;FSM;Micronésie;Autres pays
Europe;MDA;Moldavie;Autres pays
Europe;MCO;Monaco;Autres pays
Asie;MNG;Mongolie;Autres pays
Europe;MNE;Monténégro;Autres pays
Amérique;MSR;Montserrat;Autres pays
Afrique;MOZ;Mozambique;Autres pays
Asie;MMR;Myanmar;Autres pays
Afrique;NAM;Namibie;Autres pays
Océanie;NRU;Nauru;Autres pays
Asie;NPL;Népal;Autres pays
Amérique;NIC;Nicaragua;Autres pays
Afrique;NER;Niger;Autres pays
Afrique;NGA;Nigéria;Autres pays
Océanie;NIU;Niue;Autres pays
Europe;NOR;Norvège;Autres pays
Océanie;NZL;Nouvelle-Zélande;Autres pays
Asie;OMN;Oman;Autres pays
